Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee)
Dividend (Dividend),2024-01-02 12:51:55,US6541061031,NKE,"Nike",,,0.2344219000,0.314500,USD,Not available,,,0.29,"PLN",0.01,USD,,
Market sell,2024-01-03 15:14:21.319,US1912161007,KO,"Coca-Cola",,EOF8250438331,0.6551740000,59.950000,USD,0.25060729,6.96,"PLN",156.49,"PLN",,,0.24,"PLN"
Market buy,2024-01-03 15:22:10.886,US68389X1054,ORCL,"Oracle",,EOF8250441341,0.3876464000,101.930000,USD,0.25079528,,"PLN",157.79,"PLN",,,0.24,"PLN"
Deposit,2024-01-10 11:04:02,,,,"Transaction ID: SFPDM9N7GFLNTM52",8d033d6e-5b08-4e66-98a1-d0177070e319,,,,,,,300.00,"PLN",,,,
Market buy,2024-01-10 11:04:42.464,DE000PAG9113,P911,"Porsche",,EOF8552156810,0.2934490000,78.380000,EUR,0.23035085,,"PLN",100.00,"PLN",,,0.15,"PLN"
Market buy,2024-01-10 14:30:09.113,US6541061031,NKE,"Nike",,EOF8552179896,0.2446807000,102.740000,USD,0.25176259,,"PLN",100.00,"PLN",,,0.15,"PLN"
Interest on cash,2024-01-10 22:14:02,,,,"Interest on cash",c0f67d3f-f82e-4c0f-9a04-889a3f9fe497,,,,,,,0.01,"PLN",,,,
Market buy,2024-01-12 15:44:06.192,DE0007664005,VOW,"Volkswagen",,EOF8700686026,0.1895297000,121.000000,EUR,0.22965245,,"PLN",100.01,"PLN",,,0.15,"PLN"
Dividend (Dividend),2024-01-25 11:52:27,US68389X1054,ORCL,"Oracle",,,0.6403767000,0.340000,USD,Not available,,,0.88,"PLN",0.04,USD,,
Deposit,2024-02-02 13:57:09,,,,"Transaction ID: N56GGCR62TRMMM52",ee1b02cd-7c38-4c29-a783-98a5ca1f817a,,,,,,,250.00,"PLN",,,,
Market buy,2024-02-02 13:57:28.168,DE000BAY0017,BAYN,"Bayer",,EOF9703190807,1.1979890000,28.955000,EUR,0.23160694,,"PLN",149.99,"PLN",,,0.22,"PLN"
Market buy,2024-02-02 14:30:01.989,US0378331005,AAPL,"Apple",,EOF9703195305,0.1398966000,179.920000,USD,0.24985305,,"PLN",100.89,"PLN",,,0.15,"PLN"
Dividend (Dividend),2024-02-13 10:20:17,DE0007236101,SIE,"Siemens",,,0.1723054000,3.460375,EUR,Not available,,,2.57,"PLN",0.21,EUR,,
Dividend (Dividend),2024-02-15 12:33:50,US0378331005,AAPL,"Apple",,,0.2865593000,0.204000,USD,Not available,,,0.24,"PLN",0.01,USD,,
Dividend (Dividend),2024-02-15 12:37:28,US4180561072,HAS,"Hasbro",,,1.3811800000,0.595000,USD,Not available,,,3.32,"PLN",0.15,USD,,
Dividend (Dividend),2024-04-01 09:19:19,US6541061031,NKE,"Nike",,,0.4791026000,0.314500,USD,Not available,,,0.60,"PLN",0.03,USD,,
Dividend (Dividend),2024-04-24 09:07:50,US68389X1054,ORCL,"Oracle",,,0.6403767000,0.340000,USD,Not available,,,0.88,"PLN",0.04,USD,,
Dividend (Dividend),2024-05-02 11:04:04,DE000BAY0017,BAYN,"Bayer",,,3.0217760000,0.080988,EUR,Not available,,,1.06,"PLN",0.09,EUR,,
Dividend (Dividend),2024-05-15 12:21:57,US4180561072,HAS,"Hasbro",,,1.3811800000,0.595000,USD,Not available,,,3.24,"PLN",0.15,USD,,
Dividend (Dividend),2024-05-16 11:08:31,US0378331005,AAPL,"Apple",,,0.2865593000,0.212500,USD,Not available,,,0.24,"PLN",0.01,USD,,
Dividend (Dividend),2024-05-21 10:57:12,DE0005190003,BMW,"Bayerische Motoren Werke",,,0.2981440000,4.417500,EUR,Not available,,,5.60,"PLN",0.47,EUR,,
Dividend (Dividend),2024-06-04 09:13:38,DE0007664005,VOW,"Volkswagen",,,0.4241573000,6.626250,EUR,Not available,,,12.01,"PLN",1.01,EUR,,
Market sell,2024-06-10 14:11:41.627,US68389X1054,ORCL,"Oracle",,EOF15753007526,0.6403767000,125.990000,USD,0.24785285,68.10,"PLN",325.03,"PLN",,,0.49,"PLN"
Market sell,2024-06-10 14:16:05.197,US0378331005,AAPL,"Apple",,EOF15753008547,0.2865593000,195.250000,USD,0.24789855,18.16,"PLN",225.36,"PLN",,,0.34,"PLN"
Withdrawal,2024-06-10 15:37:40,,,,"Sent to Blik",19f61805-3af4-4e91-a602-885b63b21616,,,,,,,-580.15,"PLN",,,,
Dividend (Tax exempted),2024-06-12 12:18:06,DE000PAG9113,P911,"Porsche",,,0.5719720000,2.310000,EUR,Not available,,,5.73,"PLN",0.00,EUR,,
Dividend (Dividend),2024-07-01 14:03:08,US6541061031,NKE,"Nike",,,0.4791026000,0.314500,USD,Not available,,,0.60,"PLN",0.03,USD,,
Dividend (Dividend),2024-09-04 09:10:54,US4180561072,HAS,"Hasbro",,,1.3811800000,0.595000,USD,Not available,,,3.18,"PLN",0.15,USD,,
Dividend (Dividend),2024-10-01 10:50:06,US6541061031,NKE,"Nike",,,0.4791026000,0.314500,USD,Not available,,,0.58,"PLN",0.03,USD,,
Interest on cash,2024-11-07 02:04:23,,,,"Interest on cash",d359abcc-9ebe-4328-944d-281e9739a7c4,,,,,,,0.01,"PLN",,,,
Interest on cash,2024-11-13 02:04:29,,,,"Interest on cash",5b426650-d518-4040-9e5d-0d3168d7d777,,,,,,,0.01,"PLN",,,,
Interest on cash,2024-11-19 02:04:38,,,,"Interest on cash",6bf7fd11-b085-44c3-95e0-b4788b2a5664,,,,,,,0.01,"PLN",,,,
