Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Dividend (Dividend),2025-01-09 13:49:51,US79466L3024,CRM,"Salesforce",,,0.0428772000,0.340000,USD,Not available,,0.01,"EUR",0.00,USD,,,,,,
Dividend (Dividend),2025-01-23 09:58:17,US68389X1054,ORCL,"Oracle",,,0.3931011000,0.340000,USD,Not available,,0.13,"EUR",0.02,USD,,,,,,
Deposit,2025-02-03 02:00:11.931,,,,"Bank Transfer",d23aa675-ef2c-4c9e-b0a7-2970beebaa94,,,,,,10.00,"EUR",,,,,,,,
Deposit,2025-02-06 10:30:49.973,,,,"Bank Transfer",f65bcf89-293d-42d0-87ea-53178f413cc4,,,,,,500.00,"EUR",,,,,,,,
Market buy,2025-02-06 11:21:06.777,IE00B6YX5C33,SPY5,"SPDR S&P 500 (Dist)",,EOF27750177467,0.0697248000,606.590000,USD,1.03662662,"EUR",40.86,"EUR",,,,,,,0.06,"EUR"
Market buy,2025-02-06 11:21:08.771,IE00BFMXXD54,VUAG,"Vanguard S&P 500 (Acc)",,EOF27750177477,0.3662000000,92.930000,GBP,0.83409230,"EUR",40.86,"EUR",,,,,,,0.06,"EUR"
Market buy,2025-02-06 14:30:02.659,US5949181045,MSFT,"Microsoft",,EOF27752162087,0.2039123000,414.890000,USD,1.03677909,"EUR",81.72,"EUR",,,,,,,0.12,"EUR"
Market buy,2025-02-06 14:30:02.659,US64110L1061,NFLX,"Netflix",,EOF27752162084,0.0209366400,1010.200000,USD,1.03677420,"EUR",20.43,"EUR",,,,,,,0.03,"EUR"
Market buy,2025-02-06 14:30:02.659,US67066G1040,NVDA,"Nvidia",,EOF27752164310,0.6635388000,127.500000,USD,1.03677937,"EUR",81.72,"EUR",,,,,,,0.12,"EUR"
Market buy,2025-02-06 14:30:03.949,US0378331005,AAPL,"Apple",,EOF27752167423,0.3654479000,231.500000,USD,1.03677927,"EUR",81.72,"EUR",,,,,,,0.12,"EUR"
Market buy,2025-02-06 14:30:03.949,US0231351067,AMZN,"Amazon",,EOF27752167426,0.1775322000,238.270000,USD,1.03677934,"EUR",40.86,"EUR",,,,,,,0.06,"EUR"
Market buy,2025-02-06 14:30:06.118,US5801351017,MCD,"McDonald's",,EOF27752172919,0.1448650000,292.000000,USD,1.03677892,"EUR",40.86,"EUR",,,,,,,0.06,"EUR"
Market buy,2025-02-06 14:30:06.119,US1912161007,KO,"Coca-Cola",,EOF27752178718,0.4819000000,63.630000,USD,1.03697318,"EUR",29.61,"EUR",,,,,,,0.04,"EUR"
Market buy,2025-02-06 14:30:06.119,US1912161007,KO,"Coca-Cola",,EOF27752179862,0.1827750000,63.670000,USD,1.03719110,"EUR",11.24,"EUR",,,,,,,0.02,"EUR"
Market buy,2025-02-06 14:30:06.119,US68389X1054,ORCL,"Oracle",,EOF27752179858,0.1229651000,172.000000,USD,1.03676456,"EUR",20.43,"EUR",,,,,,,0.03,"EUR"
Market buy,2025-02-06 14:30:10.815,US79466L3024,CRM,"Salesforce",,EOF27752181422,0.0626873000,337.360000,USD,1.03667585,"EUR",20.43,"EUR",,,,,,,0.03,"EUR"
Interest on cash,2025-02-09 02:04:58.398,,,,"Interest on cash",8d90c064-e3d5-4ef7-9dc1-6809df3cef87,,,,,,0.01,"EUR",,,,,,,,
